[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1759605.8211011938, 0.8]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 1.0, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1740721.1623999858, 0.8285714285714286]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1724823.6898408886, 0.7346938775510204]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1696897.031320837, 0.75]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.9, 'mfi_bid': 10, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1662743.9850821411, 0.7631578947368421]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1662451.185664014, 0.6521739130434783]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 1.0, 'mfi_bid': 20, 'mfi_ask': 90, 'boll_period': 20, 'mfi_period': 10, 'minCap': 500000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1637319.3780703822, 0.75]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.8, 'mfi_bid': 10, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1636946.5504343305, 0.6976744186046512]
[{'market': 'KOSPI', 'position_bid': 0.2, 'position_ask': 0.8, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1634325.508707445, 0.7719298245614035]
[{'market': 'KOSPI', 'position_bid': 0.1, 'position_ask': 0.9, 'mfi_bid': 20, 'mfi_ask': 80, 'boll_period': 20, 'mfi_period': 10, 'minCap': 1000000000000, 'z_score': -1.5, 'maxPnl': 100, 'lossCutPnl': -20, 'z_score_period': 180}, 1633741.9267680265, 0.7441860465116279]
